date,yt_pred_time_trend_1_dummy,yt_pred_time_trend_2_dummy,yt_pred_time_trend_3_dummy,yt_true,yt_pred_time_trend_3_fourier
1946-01-01,1095.0249999999992,1444.1986161805082,1197.389238901431,890,1138.2402635831327
1946-02-01,1077.3934210526309,1417.7272045877285,1182.2558001361922,992,1250.669280520083
1946-03-01,1214.0776315789465,1545.5715803337546,1321.147433439697,979,1282.0046880942182
1946-04-01,1322.1302631578938,1644.784376276877,1431.1167703908948,959,1425.2150843147783
1946-05-01,1385.0249999999992,1698.8392767431906,1495.6374952003107,1110,1564.72416223802
1946-06-01,1539.4986842105254,1844.4731228817627,1651.4464499732096,1546,1531.931914667875
1946-07-01,1929.709210526315,2225.843808421345,2042.701529446432,1539,2199.885663947843
1946-08-01,3034.4986842105254,3321.7934352765706,3148.244838883137,3401,2989.310342888405
1946-09-01,2284.709210526315,2563.1641266766205,2398.9184835464807,2092,2535.8518322346963
1946-10-01,1815.6565789473675,2085.2716571629967,1930.0382529101496,1436,1845.1812415880106
1946-11-01,1636.130263157894,1896.9055003584465,1750.3936206583526,1301,1778.8667492289212
1946-12-01,1397.6039473684202,1649.5393429107262,1511.4582710016166,1287,1539.9901752271912
1947-01-01,1220.817543859648,1464.4041988594977,1362.5325221780934,1488,1302.4547672028705
1947-02-01,1203.1859649122798,1438.9149915567707,1344.9249807775234,1517,1412.4301273552323
1947-03-01,1339.8701754385957,1567.7415715928491,1481.374813379579,1707,1441.3439891327455
1947-04-01,1447.922807017543,1667.9365718260244,1588.93465156321,1729,1582.1649505446503
1947-05-01,1510.817543859648,1722.9736765823905,1651.078179538941,1788,1719.3167046472036
1947-06-01,1665.2912280701746,1869.5897270110156,1804.5422394120371,2008,1684.1992442443368
1947-07-01,2055.501754385964,2251.9426168406503,2193.48472591934,2203,2349.8598916795495
1947-08-01,3160.291228070175,3348.874447985928,3296.747744324006,3713,3137.023579763323
1947-09-01,2410.501754385964,2591.2273436760306,2545.173399889193,2946,2681.3361892407925
1947-10-01,1941.4491228070167,2114.31707845246,2074.077482088588,2082,1988.4688297132516
1947-11-01,1761.9228070175432,1926.933125937962,1892.2494646063988,2033,1919.9896794612735
